,movieId,title,userId,rating,timestamp
0,1,Toy Story (1995),1,4.0,964982703
1,1,Toy Story (1995),5,4.0,847434962
2,1,Toy Story (1995),7,4.5,1106635946
3,1,Toy Story (1995),15,2.5,1510577970
4,1,Toy Story (1995),17,4.5,1305696483
5,1,Toy Story (1995),18,3.5,1455209816
6,1,Toy Story (1995),19,4.0,965705637
7,1,Toy Story (1995),21,3.5,1407618878
8,1,Toy Story (1995),27,3.0,962685262
9,1,Toy Story (1995),31,5.0,850466616
10,1,Toy Story (1995),32,3.0,856736119
11,1,Toy Story (1995),33,3.0,939647444
12,1,Toy Story (1995),40,5.0,832058959
13,1,Toy Story (1995),43,5.0,848993983
14,1,Toy Story (1995),44,3.0,869251860
15,1,Toy Story (1995),45,4.0,951170182
16,1,Toy Story (1995),46,5.0,834787906
17,1,Toy Story (1995),50,3.0,1514238116
18,1,Toy Story (1995),54,3.0,830247330
19,1,Toy Story (1995),57,5.0,965796031
20,1,Toy Story (1995),63,5.0,1443199669
21,1,Toy Story (1995),64,4.0,1161520134
22,1,Toy Story (1995),66,4.0,1104643957
23,1,Toy Story (1995),68,2.5,1158531426
24,1,Toy Story (1995),71,5.0,864737933
25,1,Toy Story (1995),73,4.5,1464196374
26,1,Toy Story (1995),76,0.5,1439165548
27,1,Toy Story (1995),78,4.0,1252575124
28,1,Toy Story (1995),82,2.5,1084467729
29,1,Toy Story (1995),86,4.0,1344082549
30,1,Toy Story (1995),89,3.0,1520408314
31,1,Toy Story (1995),90,3.0,856353996
32,1,Toy Story (1995),91,4.0,1112713037
33,1,Toy Story (1995),93,3.0,942767337
34,1,Toy Story (1995),96,5.0,964772990
35,1,Toy Story (1995),98,4.5,1532457849
36,1,Toy Story (1995),103,4.0,1431954238
37,1,Toy Story (1995),107,4.0,829322340
38,1,Toy Story (1995),112,3.0,1442535639
39,1,Toy Story (1995),119,3.5,1435942468
40,1,Toy Story (1995),121,4.0,847656180
41,1,Toy Story (1995),124,4.0,1336584336
42,1,Toy Story (1995),130,3.0,832589610
43,1,Toy Story (1995),132,2.0,1157921785
44,1,Toy Story (1995),134,3.0,832841103
45,1,Toy Story (1995),135,4.0,1009691859
46,1,Toy Story (1995),137,4.0,1204859907
47,1,Toy Story (1995),140,3.0,942924980
48,1,Toy Story (1995),141,4.0,1513130643
49,1,Toy Story (1995),144,3.5,1137323419
50,1,Toy Story (1995),145,5.0,832105242
